team_name,team_id,elo,matches_played
Unknown,8944230,1490.03,47
Unknown,9885643,1490.0,11
Unknown,4086533,1489.84,1
Unknown,9849540,1489.83,13
Unknown,9481730,1489.8,9
Unknown,9627650,1489.8,7
Unknown,9879177,1489.79,3
Unknown,2116622,1489.73,1
Unknown,9774235,1489.57,1
Unknown,9641056,1489.5,4
Unknown,9866822,1489.36,4
Unknown,10013909,1489.13,1
Unknown,10054226,1488.94,7
Unknown,9628678,1488.93,37
Elite Eclipse,9440022,1488.87,3
Unknown,9555752,1488.87,3
Unknown,9828848,1488.85,3
Unknown,10054744,1488.84,1
Unknown,9264050,1488.74,3
Unknown,9878091,1488.66,3
Unknown,9493583,1488.61,7
Unknown,9973207,1488.58,1
